LayDay,clutch,bin,postlay,clutch.size,eggcode,eggmass,post.eggmass,dam.oby,hatch
109,1,136,4.06,5,M,0.47,0.41,bo,0
118,2,143,4.34,5,M,0.47,0.41,bo,1
102,1,174,4.97,5,M,0.49,0.4,bo,1
115,2,119,4.39,6,M,0.47,0.4,bo,1
115,2,119,4.39,6,M,0.46,0.4,bo,1
170,3,143,4.51,4,M,0.46,0.4,bo,1
146,3,116,5.4,5,M,0.5,0.39,bo,1
116,2,158,5.1,5,M,0.49,0.39,bo,1
132,2,146,5.06,4,M,0.49,0.39,bo,1
170,2,107,5.72,3,M,0.48,0.39,bo,1
102,1,174,4.97,5,M,0.47,0.39,bo,1
166,2,107,5.01,5,M,0.46,0.39,bo,0
143,2,170,5.54,5,M,0.46,0.39,bo,1
143,2,151,5.21,7,M,0.48,0.38,bo,1
82,1,107,4.43,5,M,0.48,0.38,bo,0
116,2,158,5.1,5,M,0.48,0.38,bo,1
90,1,159,4.64,4,M,0.46,0.38,bo,1
118,2,143,4.34,5,M,0.45,0.38,bo,1
148,3,145,4.64,5,M,0.45,0.38,bo,1
109,1,176,5.09,5,M,0.45,0.37,bo,1
121,2,159,4.31,5,M,0.44,0.37,bo,1
112,2,144,5.14,7,M,0.37,0.37,bo,1
94,1,114,4.72,4,M,0.37,0.37,bo,1
82,1,107,4.43,5,M,0.48,0.36,bo,0
98,1,169,4.53,4,M,0.46,0.36,bo,1
180,3,166,6.2,4,M,0.46,0.36,bo,0
119,2,121,5.26,5,M,0.45,0.36,bo,1
143,2,170,5.54,5,M,0.45,0.36,bo,1
90,1,159,4.64,4,M,0.45,0.36,bo,1
109,2,117,4.65,4,M,0.45,0.36,bo,1
148,3,145,4.64,5,M,0.43,0.36,bo,1
96,1,132,3.97,4,M,0.43,0.36,bo,0
116,1,156,4.11,4,M,0.43,0.36,bo,1
105,2,116,4.92,6,M,0.42,0.36,bo,0
116,2,145,4.66,5,M,0.42,0.36,bo,1
112,2,144,5.14,7,M,0.36,0.36,bo,1
105,2,116,4.92,6,M,0.45,0.35,bo,1
121,2,159,4.31,5,M,0.45,0.35,bo,0
96,1,132,3.97,4,M,0.44,0.35,bo,1
116,2,145,4.66,5,M,0.43,0.35,bo,1
86,1,144,5.18,6,M,0.35,0.35,bo,0
76,1,117,4.17,6,M,0.43,0.34,bo,0
114,2,102,5.06,6,M,0.43,0.34,bo,1
78,1,117,4.65,5,M,0.42,0.34,bo,1
140,2,114,4.72,5,M,0.41,0.34,bo,1
166,2,107,5.01,5,M,0.44,0.33,bo,1
78,1,117,4.65,5,M,0.42,0.33,bo,1
140,2,114,4.72,5,M,0.42,0.33,bo,1
89,1,119,4.46,5,M,0.41,0.33,bo,1
89,1,119,4.46,5,M,0.41,0.33,bo,1
88,1,135,4.79,5,M,0.41,0.33,bo,0
100,1,166,5.52,7,M,0.4,0.33,bo,1
76,1,117,4.17,6,M,0.4,0.33,bo,0
157,3,117,4.31,5,M,0.4,0.33,bo,0
124,2,130,5.31,5,M,0.4,0.33,bo,0
90,1,160,4.86,6,M,0.39,0.33,bo,0
109,1,176,5.09,5,M,0.42,0.32,bo,1
98,1,169,4.53,4,M,0.42,0.32,bo,1
103,1,147,4.47,7,M,0.41,0.32,bo,1
90,1,160,4.86,6,M,0.4,0.32,bo,0
157,3,117,4.31,5,M,0.4,0.32,bo,1
110,1,107,4.43,4,M,0.4,0.32,bo,0
96,1,146,4.45,4,M,0.4,0.32,bo,1
124,2,130,5.31,5,M,0.43,0.31,bo,1
103,1,147,4.47,7,M,0.41,0.31,bo,1
100,1,166,5.52,7,M,0.4,0.31,bo,1
108,1,106,4.96,4,M,0.4,0.31,bo,0
108,1,106,4.96,4,M,0.39,0.31,bo,0
110,1,107,4.43,4,M,0.38,0.31,bo,1
95,1,161,4.26,6,M,0.37,0.31,bo,1
109,1,136,4.06,5,M,0.37,0.31,bo,1
114,2,102,5.06,6,M,0.42,0.3,bo,0
89,1,158,4.52,6,M,0.41,0.3,bo,1
86,1,146,4.22,5,M,0.4,0.3,bo,1
137,2,146,4.54,4,M,0.37,0.3,bo,0
95,1,161,4.26,6,M,0.36,0.3,bo,1
96,1,146,4.45,4,M,0.39,0.29,bo,1
86,1,146,4.22,5,M,0.38,0.29,bo,1
86,1,144,5.18,6,M,0.37,0.29,bo,1
88,1,135,4.79,5,M,0.35,0.28,bo,0
89,1,158,4.52,6,M,0.38,0.26,bo,1
86,1,109,4.12,5,M,0.34,0.26,bo,0
86,1,109,4.12,5,M,0.31,0.23,bo,1
159,2,109,3.67,4,M,0.3,0.22,bo,0
159,2,109,3.67,4,M,0.3,0.19,bo,0
146,3,120,5.52,5,C,0.61,0.61,bo,0
172,3,121,6.21,3,C,0.61,0.61,bo,1
103,1,147,4.47,7,C,0.6,0.6,bo,1
138,2,174,5.28,4,C,0.6,0.6,bo,1
146,3,120,5.52,5,C,0.59,0.59,bo,1
154,3,119,5,4,C,0.59,0.59,bo,1
154,3,119,5,4,C,0.57,0.57,bo,1
154,3,119,5,4,C,0.57,0.57,bo,1
117,2,120,5.45,4,C,0.57,0.57,bo,0
117,2,120,5.45,4,C,0.57,0.57,bo,0
146,3,120,5.52,5,C,0.56,0.56,bo,1
155,2,162,4.11,4,C,0.56,0.56,bo,0
155,2,162,4.11,4,C,0.55,0.55,bo,1
104,1,151,5.64,5,C,0.54,0.54,bo,1
104,1,151,5.64,5,C,0.53,0.53,bo,1
154,3,130,5.7,5,C,0.53,0.53,bo,1
87,1,120,5.83,4,C,0.53,0.53,bo,0
146,3,116,5.4,5,C,0.52,0.52,bo,1
104,1,151,5.64,5,C,0.52,0.52,bo,1
154,3,130,5.7,5,C,0.52,0.52,bo,1
87,1,120,5.83,4,C,0.52,0.52,bo,0
117,1,112,4.01,3,C,0.52,0.52,bo,1
146,3,116,5.4,5,C,0.51,0.51,bo,1
154,3,130,5.7,5,C,0.51,0.51,bo,1
92,1,112,4.51,4,C,0.51,0.51,bo,1
160,3,159,5.08,4,C,0.51,0.51,bo,1
170,2,107,5.72,3,C,0.51,0.51,bo,1
143,2,151,5.21,7,C,0.5,0.5,bo,1
76,1,117,4.17,6,C,0.5,0.5,bo,1
76,1,117,4.17,6,C,0.5,0.5,bo,0
116,2,158,5.1,5,C,0.5,0.5,bo,1
155,3,158,5.1,5,C,0.5,0.5,bo,1
119,2,121,5.26,5,C,0.5,0.5,bo,1
119,2,121,5.26,5,C,0.5,0.5,bo,1
110,1,162,4.11,3,C,0.5,0.5,bo,1
154,3,119,5,4,C,0.58,0.49,bo,0
78,1,117,4.65,5,C,0.49,0.49,bo,1
102,1,174,4.97,5,C,0.49,0.49,bo,1
109,2,117,4.65,4,C,0.49,0.49,bo,1
119,2,121,5.26,5,C,0.48,0.48,bo,1
143,2,170,5.54,5,C,0.48,0.48,bo,1
143,2,170,5.54,5,C,0.48,0.48,bo,1
143,2,170,5.54,5,C,0.48,0.48,bo,1
115,2,119,4.39,6,C,0.47,0.47,bo,1
140,2,151,4.61,5,C,0.47,0.47,bo,1
109,1,176,5.09,5,C,0.47,0.47,bo,1
96,1,132,3.97,4,C,0.47,0.47,bo,0
170,3,143,4.51,4,C,0.47,0.47,bo,1
137,2,146,4.54,4,C,0.47,0.47,bo,1
108,1,106,4.96,4,C,0.47,0.47,bo,1
115,2,119,4.39,6,C,0.46,0.46,bo,1
102,1,174,4.97,5,C,0.46,0.46,bo,1
155,3,158,5.1,5,C,0.46,0.46,bo,1
170,3,143,4.51,4,C,0.46,0.46,bo,1
124,2,112,4.57,4,C,0.46,0.46,bo,1
90,1,159,4.64,4,C,0.46,0.46,bo,1
109,2,117,4.65,4,C,0.46,0.46,bo,1
132,2,146,5.06,4,C,0.46,0.46,bo,1
132,2,146,5.06,4,C,0.46,0.46,bo,1
143,2,151,5.21,7,C,0.45,0.45,bo,1
115,2,119,4.39,6,C,0.45,0.45,bo,1
114,2,102,5.06,6,C,0.45,0.45,bo,0
138,2,166,5.56,6,C,0.45,0.45,bo,1
140,2,151,4.61,5,C,0.45,0.45,bo,1
102,1,174,4.97,5,C,0.45,0.45,bo,1
166,2,107,5.01,5,C,0.45,0.45,bo,1
116,2,158,5.1,5,C,0.45,0.45,bo,1
155,3,158,5.1,5,C,0.45,0.45,bo,1
96,1,132,3.97,4,C,0.45,0.45,bo,1
90,1,159,4.64,4,C,0.45,0.45,bo,1
180,3,166,6.2,4,C,0.45,0.45,bo,1
180,3,166,6.2,4,C,0.45,0.45,bo,1
115,2,119,4.39,6,C,0.44,0.44,bo,1
114,2,102,5.06,6,C,0.44,0.44,bo,0
138,2,166,5.56,6,C,0.44,0.44,bo,1
121,2,159,4.31,5,C,0.44,0.44,bo,1
118,2,143,4.34,5,C,0.44,0.44,bo,1
140,2,151,4.61,5,C,0.44,0.44,bo,1
148,3,145,4.64,5,C,0.44,0.44,bo,1
148,3,145,4.64,5,C,0.44,0.44,bo,1
78,1,117,4.65,5,C,0.44,0.44,bo,1
109,1,176,5.09,5,C,0.44,0.44,bo,1
98,1,169,4.53,4,C,0.44,0.44,bo,0
137,2,146,4.54,4,C,0.44,0.44,bo,1
156,3,112,4.95,4,C,0.44,0.44,bo,1
105,2,116,4.92,6,C,0.43,0.43,bo,0
105,2,116,4.92,6,C,0.43,0.43,bo,1
114,2,102,5.06,6,C,0.43,0.43,bo,1
86,1,144,5.18,6,C,0.43,0.43,bo,1
121,2,159,4.31,5,C,0.43,0.43,bo,1
82,1,107,4.43,5,C,0.43,0.43,bo,0
82,1,107,4.43,5,C,0.43,0.43,bo,0
89,1,119,4.46,5,C,0.43,0.43,bo,1
116,2,145,4.66,5,C,0.43,0.43,bo,1
116,2,145,4.66,5,C,0.43,0.43,bo,0
140,2,114,4.72,5,C,0.43,0.43,bo,1
166,2,107,5.01,5,C,0.43,0.43,bo,1
166,2,107,5.01,5,C,0.43,0.43,bo,1
109,1,176,5.09,5,C,0.43,0.43,bo,1
124,2,130,5.31,5,C,0.43,0.43,bo,1
110,1,162,4.11,3,C,0.51,0.42,bo,1
103,1,147,4.47,7,C,0.42,0.42,bo,1
76,1,117,4.17,6,C,0.42,0.42,bo,1
109,1,136,4.06,5,C,0.42,0.42,bo,0
89,1,119,4.46,5,C,0.42,0.42,bo,1
89,1,119,4.46,5,C,0.42,0.42,bo,1
148,3,145,4.64,5,C,0.42,0.42,bo,1
78,1,117,4.65,5,C,0.42,0.42,bo,1
124,2,130,5.31,5,C,0.42,0.42,bo,1
96,1,146,4.45,4,C,0.42,0.42,bo,1
96,1,146,4.45,4,C,0.42,0.42,bo,1
110,1,162,4.11,3,C,0.52,0.41,bo,1
100,1,166,5.52,7,C,0.41,0.41,bo,1
138,2,166,5.56,6,C,0.41,0.41,bo,1
86,1,146,4.22,5,C,0.41,0.41,bo,0
86,1,146,4.22,5,C,0.41,0.41,bo,0
157,3,117,4.31,5,C,0.41,0.41,bo,1
121,2,159,4.31,5,C,0.41,0.41,bo,1
110,1,107,4.43,4,C,0.41,0.41,bo,0
